date,_NAME_,SELL,PORT2,PORT3,PORT4,BUY,asyret
28AUG2006,mret,0.8343483151,0.6047403504,0.2615837784,0.4115693857,0.6519126915,-0.182435624
29AUG2006,mret,0.367086021,0.2801625673,0.0910495035,0.2874259714,0.7011462748,0.3340602538
30AUG2006,mret,0.2401245669,0.1529728727,-0.189765059,0.0264321447,0.0270650818,-0.213059485
31AUG2006,mret,0.4020389965,0.0210636083,-0.105624461,0.2560429244,0.2621116923,-0.139927304
01SEP2006,mret,0.4102093437,0.409972902,0.4661117456,0.658337377,1.00418342,0.5939740763
05SEP2006,mret,-0.083181664,-0.141932369,0.1121882516,0.5283325785,0.5836133737,0.666795038
06SEP2006,mret,-0.827268975,-0.623845637,-0.598460682,-1.381850625,-2.130254744,-1.302985769
07SEP2006,mret,-0.279668788,-0.521382549,-0.559196572,-0.330454635,-0.51451318,-0.234844392
08SEP2006,mret,0.3007010271,0.5361067891,0.4479702678,0.2862041551,-0.759877546,-1.060578574
11SEP2006,mret,0.5905523232,0.2852520521,-0.113312836,-0.423314624,-1.675825783,-2.266378106
12SEP2006,mret,1.0448597012,0.8506351061,0.8769037185,1.3014804595,1.016611955,-0.028247746
13SEP2006,mret,0.1347925067,0.2843760954,0.474259321,0.5675462894,1.0720544599,0.9372619532
14SEP2006,mret,-0.204421675,-0.058122384,-0.035278336,-0.250707175,-1.085498793,-0.881077118
22SEP2006,mret,-0.45892254,-0.200170176,-0.249562658,-0.196301912,-0.431783514,0.0271390259
25SEP2006,mret,0.6524570281,0.4369695707,0.9512007237,0.96494474,0.4710774117,-0.181379616
26SEP2006,mret,0.9209257155,0.4037915399,0.7581583522,0.9720865814,1.4514021814,0.5304764659
27SEP2006,mret,0.2293553433,0.0790669068,0.0331902798,0.290043661,0.1284309144,-0.100924429
28SEP2006,mret,0.0764622012,0.2144427585,0.056299998,0.2073218716,0.0091807705,-0.067281431
29SEP2006,mret,-0.255701129,-0.23922774,-0.17534728,-0.393253519,0.1213852252,0.3770863543
02OCT2006,mret,-0.501257153,-0.037852573,-0.168983889,-0.253152697,-1.001336814,-0.500079661
03OCT2006,mret,0.0057498018,0.341069667,0.2578316755,0.0984057462,-0.980295451,-0.986045252
04OCT2006,mret,1.2805358597,0.8798027165,1.2247952351,1.0852767124,1.0621645797,-0.21837128
05OCT2006,mret,0.8526662326,0.2249216804,0.331798703,0.3888061279,0.6240321818,-0.228634051
06OCT2006,mret,-0.737137321,-0.419817496,-0.182291383,-0.158530484,-0.059470181,0.6776671399
09OCT2006,mret,0.0086312683,0.1994428815,-0.020640959,0.5418327703,-0.006470083,-0.015101351
10OCT2006,mret,-0.065008372,0.2120762084,0.2543785037,0.2234882367,0.7608510835,0.8258594555
11OCT2006,mret,-0.011916329,-0.198121879,-0.179541598,-0.221348782,-0.939268205,-0.927351877
12OCT2006,mret,0.7413800232,0.813967865,0.778189956,1.0535745253,1.5930840087,0.8517039855
13OCT2006,mret,-0.332540187,0.0076237091,0.3210660615,0.1390450747,0.7184736896,1.0510138765
16OCT2006,mret,0.3635428846,0.0202168247,0.3429497487,0.7712824187,0.8014897822,0.4379468976
17OCT2006,mret,-0.370352507,-0.179520544,-0.25364834,-0.39266714,-0.656090929,-0.285738422
18OCT2006,mret,0.6276252288,0.1015600386,0.4135378862,0.0409755409,-0.265893433,-0.893518662
19OCT2006,mret,0.146689984,-0.082220542,-0.01382044,0.1318630929,0.9468273542,0.8001373702
20OCT2006,mret,-0.464101423,0.1305300043,0.04892864,-0.013284306,-0.18078958,0.2833118427
23OCT2006,mret,0.5279030511,0.3960022414,0.6686812545,0.5753765994,0.7943698172,0.2664667661
24OCT2006,mret,0.1369046859,-0.080260268,0.0294598779,0.255437501,0.9903124521,0.8534077662
